Name			C	H	O	DOU	Aromatic	ROH	RCOR	RCOOH	CHO	COOR	ROR	LCC	MP
Benzene			6	6	0	4	1		0	0	0	0	0	0	6	5.5556
Acetic Acid		2	4	2	1	0		0	0	1	0	0	0	2	16.6
Diethyl Ether		4	10	1	0	0		0	0	0	0	0	1	2	-116
isobutane		4	10	0	0	0		0	0	0	0	0	0	3	-159.6
cyclobutane		4	8	0	1	0		0	0	0	0	0	0	4	-91
Formaldehyde		1	2	1	1	0		0	0	0	1	0	0	1	-92.0
Acetaldehyde		2	4	1	1	0		0	0	0	1	0	0	2	-128
Formic acid		1	2	2	1	0		0	0	1	0	0	0	1	8.4
Propionic acid 		3	6	2	1	0		0	0	1	0	0	0	3	-20.5
Butyric acid		4	8	2	1	0		0	0	1	0	0	0	4	-8
Valeric acid		5	10	2	1	0		0	0	1	0	0	0	5	-34	
Caproic acid		6	12	2	1	0		0	0	1	0	0	0	6	-4
Enanthic acid		7	14	2	1	0		0	0	1	0	0	0	7	-8
Caprylic acid		8	16	2	1	0		0	0	1	0	0	0	8	16
Pelargonic acid		9	18	2	1	0		0	0	1	0	0	0	9	12.38
Capric acid		10	20	2	1	0		0	0	1	0	0	0	10	31.39
Undecylic acid		11	22	2	1	0		0	0	1	0	0	0	11	28.47
Lauric acid		12	24	2	1	0		0	0	1	0	0	0	12	43.82
Tridecylic acid		13	26	2	1	0		0	0	1	0	0	0	13	41.85
Myristic acid		14	28	2	1	0		0	0	1	0	0	0	14	54.16
Pentadecylic acid	15	30	2	1	0		0	0	1	0	0	0	15	52.52
Palmitic acid		16	32	2	1	0		0	0	1	0	0	0	16	62.49
Margaric acid		17	34	2	1	0		0	0	1	0	0	0	17	61.08
Stearic acid		18	36	2	1	0		0	0	1	0	0	0	18	69.3
Nonadecylic acid	19	38	2	1	0		0	0	1	0	0	0	19	68.06
Arachidic acid		20	40	2	1	0		0	0	1	0	0	0	20	75.06
Methane	   		1	4	0	0	0		0	0	0	0	0	0	1	−182	
Ethane	   		2	6	0	0	0		0	0	0	0	0	0	2	−183	
Propane	   		3	8	0	0	0		0	0	0	0	0	0	3	−188	
Butane	   		4	10	0	0	0		0	0	0	0	0	0	4	−138	
Pentane	   		5	12	0	0	0		0	0	0	0	0	0	5	−130	
Hexane	   		6	14	0	0	0		0	0	0	0	0	0	6	−95	
Heptane	   		7	16	0	0	0		0	0	0	0	0	0	7	−91	
Octane	   		8	18	0	0	0		0	0	0	0	0	0	8	−57	
Nonane	   		9	20	0	0	0		0	0	0	0	0	0	9	−54	
Decane	   		10	22	0	0	0		0	0	0	0	0	0	10	−30	
Undecane   		11	24	0	0	0		0	0	0	0	0	0	11	−26	
Dodecane   		12	26	0	0	0		0	0	0	0	0	0	12	−10	
Pentadecane		15	32	0	0	0		0	0	0	0	0	0	15	9.95	
Hexadecane 		16	34	0	0	0		0	0	0	0	0	0	16	18	
Heptadecane		17	36	0	0	0		0	0	0	0	0	0	17	21.97	
Icosane	   		20	42	0	0	0		0	0	0	0	0	0	20	37	
Triacontane		30	62	0	0	0		0	0	0	0	0	0	30	66	
Tetracontane		40	82	0	0	0		0	0	0	0	0	0	40	82	
Pentacontane		50	102	0	0	0		0	0	0	0	0	0	50	91	
Hexacontane		60	122	0	0	0		0	0	0	0	0	0	60	100	
isopentane		5	12	0	0	0		0	0	0	0	0	0	4	-111.5
neopentane		5	12	0	0	0		0	0	0	0	0	0	3	-16.37
cyclopentane		5	10	0	1	0		0	0	0	0	0	0	5	-93.4
cyclohexane		6	12	0	1	0		0	0	0	0	0	0	6	6.7
cycloheptane		7	14	0	1	0		0	0	0	0	0	0	7	-8.0
Neohexane		6	14	0	0	0		0	0	0	0	0	0	4	-99.0
isohexane		6	14	0	0	0		0	0	0	0	0	0	5	-153.60













